acq_num,evt_num,windnum,time,data_ch2
0,23,30,1334,31.5
0,23,30,1335,30.6
0,23,30,1336,31.2
0,23,30,1337,25.9
0,23,30,1338,29.8
0,23,30,1339,28.6
0,23,30,1340,23.0
0,23,30,1341,24.3
0,23,30,1342,29.7
0,23,30,1343,28.9
0,23,31,1344,27.3
0,23,31,1345,27.7
0,23,31,1346,26.9
0,23,31,1347,27.7
0,23,31,1348,26.2
0,23,31,1349,25.1
0,23,31,1350,21.9
0,23,31,1351,25.0
0,23,31,1352,25.6
0,23,31,1353,27.2
0,23,31,1354,24.4
0,23,31,1355,23.5
0,23,31,1356,27.0
0,23,31,1357,24.1
0,23,31,1358,27.2
0,23,31,1359,26.6
0,23,31,1360,28.3
0,23,31,1361,27.8
0,23,31,1362,24.0
0,23,31,1363,23.8
0,23,31,1364,23.2
0,23,31,1365,26.8
0,23,31,1366,23.6
0,23,31,1367,23.6
0,23,31,1368,24.4
0,23,31,1369,27.1
0,23,31,1370,29.8
0,23,31,1371,26.3
0,23,31,1372,24.4
0,23,31,1373,28.0
0,23,31,1374,24.8
0,23,31,1375,26.4
0,23,31,1376,27.7
0,23,31,1377,26.8
0,23,31,1378,27.7
0,23,31,1379,28.9
0,23,31,1380,26.8
0,23,31,1381,28.9
0,23,31,1382,24.6
0,23,31,1383,26.8
0,23,31,1384,26.5
0,23,31,1385,28.4
0,23,31,1386,27.9
0,23,31,1387,27.8
0,23,31,1388,23.1
0,23,31,1389,28.8
0,23,31,1390,27.4
0,23,31,1391,22.6
0,23,31,1392,28.4
0,23,31,1393,24.9
0,23,31,1394,26.5
0,23,31,1395,27.1
0,23,31,1396,28.9
0,23,31,1397,21.5
0,23,31,1398,28.2
0,23,31,1399,29.3
0,23,31,1400,24.0
0,23,31,1401,29.8
0,23,31,1402,27.0
0,23,31,1403,28.8
0,23,31,1404,29.3
0,23,31,1405,26.3
0,23,31,1406,28.2
0,23,31,1407,27.2
0,23,32,1408,30.5
0,23,32,1409,26.8
0,23,32,1410,26.1
0,23,32,1411,29.9
0,23,32,1412,30.2
0,23,32,1413,24.1
0,23,32,1414,24.6
0,23,32,1415,28.1
0,23,32,1416,30.3
0,23,32,1417,28.9
0,23,32,1418,28.1
0,23,32,1419,27.1
0,23,32,1420,24.9
0,23,32,1421,26.2
0,23,32,1422,24.3
0,23,32,1423,25.5
0,23,32,1424,25.6
0,23,32,1425,25.9
0,23,32,1426,27.6
0,23,32,1427,29.2
0,23,32,1428,29.5
0,23,32,1429,27.1
0,23,32,1430,29.2
0,23,32,1431,29.7
0,23,32,1432,26.5
0,23,32,1433,20.6
0,23,32,1434,25.2
0,23,32,1435,26.6
0,23,32,1436,24.3
0,23,32,1437,24.1
0,23,32,1438,28.5
0,23,32,1439,22.4
0,23,32,1440,26.6
0,23,32,1441,24.1
0,23,32,1442,31.5
0,23,32,1443,25.6
0,23,32,1444,31.0
0,23,32,1445,24.6
0,23,32,1446,24.0
0,23,32,1447,30.0
0,23,32,1448,25.6
0,23,32,1449,27.4
0,23,32,1450,24.8
0,23,32,1451,24.9
0,23,32,1452,24.7
0,23,32,1453,26.0
0,23,32,1454,26.7
0,23,32,1455,27.2
0,23,32,1456,26.3
0,23,32,1457,23.9
0,23,32,1458,27.1
0,23,32,1459,23.3
0,23,32,1460,28.0
0,23,32,1461,29.0
0,23,32,1462,29.9
0,23,32,1463,25.4
0,23,32,1464,28.8
0,23,32,1465,25.7
0,23,32,1466,27.2
0,23,32,1467,26.7
0,23,32,1468,25.1
0,23,32,1469,23.4
0,23,32,1470,28.7
0,23,32,1471,25.7
0,23,33,1472,28.2
0,23,33,1473,23.6
0,23,33,1474,21.6
0,23,33,1475,26.3
0,23,33,1476,24.0
0,23,33,1477,22.1
0,23,33,1478,25.0
0,23,33,1479,29.2
0,23,33,1480,29.6
0,23,33,1481,31.7
0,23,33,1482,24.9
0,23,33,1483,23.3
